ano,mes,sigla_uf,densidade,Latitude,Longitude
2022,7,MG,109.42033480376,-18.10,-44.38
2022,7,MA,89.670504809339,-2.55,-44.30
2022,7,GO,103.93379207589,-16.64,-49.31
2022,7,ES,111.94275914924,-19.19,-40.34
2022,7,DF,143.88183032855,-15.83,-47.86
2022,7,CE,107.24684497448,-3.71,-38.54
2022,7,BA,103.9805277391,-12.96,-38.51
2022,7,AP,108.28130027212,1.41,-51.77
2022,7,AM,99.986653726363,-3.07,-61.66
2022,7,AL,100.55680059958,-9.71,-35.73
2022,7,AC,98.335353350377,-8.77,-70.55
2022,6,TO,97.965611999281,-10.25,-48.25
2022,6,SP,116.4489534339,-23.55,-46.64
2022,6,SE,96.801418360863,-10.90,-37.07
2022,6,SC,109.50237195122,-27.33,-49.44
2022,6,RS,101.24437607213,-30.11,-51.22
2022,6,RR,89.322719173664,1.89,-61.22
2022,6,RO,92.924940422349,-11.22,-62.80
2022,6,RN,97.781770522814,-5.22,-36.52
2022,6,RJ,109.12335314378,-22.84,-43.15
2022,6,PR,103.76457514406,-24.89,-51.55
2022,6,PI,94.16630944672,-8.28,-43.68
2022,6,PE,103.68146377912,-8.28,-35.07
2022,6,PB,106.55453760618,-7.06,-35.55
2022,6,PA,87.719337222534,-5.53,-52.29
2022,6,MT,109.82744613894,-12.64,-55.42
2022,6,MS,102.79407351679,-20.51,-54.54
2022,6,MG,104.95800867582,-18.10,-44.38
2022,6,MA,84.604352531754,-2.55,-44.30
2022,6,GO,106.42845040837,-16.64,-49.31
2022,6,ES,103.88418374748,-19.19,-40.34
2022,6,DF,117.50562723696,-15.83,-47.86
2022,6,CE,101.27621859234,-3.71,-38.54
2022,6,BA,97.821856429281,-12.96,-38.51
2022,6,AP,90.114321460598,1.41,-51.77
2022,6,AM,91.860856979926,-3.07,-61.66
2022,6,AL,92.51617439013,-9.71,-35.73
2022,6,AC,88.723926975684,-8.77,-70.55
2022,5,TO,97.321078063885,-10.25,-48.25
2022,5,SP,116.47699468449,-23.55,-46.64
2022,5,SE,96.687284100657,-10.90,-37.07
2022,5,SC,109.47289715449,-27.33,-49.44
2022,5,RS,101.9614594698,-30.11,-51.22
2022,5,RR,89.211797528163,1.89,-61.22
2022,5,RO,92.61385859356,-11.22,-62.80
2022,5,RN,97.331379147368,-5.22,-36.52
2022,5,RJ,109.6590711782,-22.84,-43.15
2022,5,PR,103.82872698941,-24.89,-51.55
2022,5,PI,95.1444080637,-8.28,-43.68
2022,5,PE,103.47200193327,-8.28,-35.07
2022,5,PB,105.95573049123,-7.06,-35.55
2022,5,PA,87.693474536762,-5.53,-52.29
2022,5,MT,109.1188427785,-12.64,-55.42
2022,5,MS,102.77660373318,-20.51,-54.54
2022,5,MG,104.6189499187,-18.10,-44.38
2022,5,MA,84.256203673233,-2.55,-44.30
2022,5,GO,106.10445524228,-16.64,-49.31
2022,5,ES,103.31056918959,-19.19,-40.34
2022,5,DF,117.30991411697,-15.83,-47.86
2022,5,CE,100.77305753535,-3.71,-38.54
2022,5,BA,97.559792660586,-12.96,-38.51
2022,5,AP,89.739099124557,1.41,-51.77
2022,5,AM,91.89336287279,-3.07,-61.66
2022,5,AL,92.457547518818,-9.71,-35.73
2022,5,AC,88.655891213352,-8.77,-70.55
2022,4,TO,96.472296550313,-10.25,-48.25
2022,4,SP,116.8574410345,-23.55,-46.64
2022,4,SE,96.157921790022,-10.90,-37.07
2022,4,SC,110.3508495568,-27.33,-49.44
2022,4,RS,100.51620223204,-30.11,-51.22
2022,4,RR,87.884721156159,1.89,-61.22
2022,4,RO,92.8992562021,-11.22,-62.80
2022,4,RN,96.982984372222,-5.22,-36.52
2022,4,RJ,108.78811389499,-22.84,-43.15
2022,4,PR,103.25536124904,-24.89,-51.55
2022,4,PI,94.519485968096,-8.28,-43.68
2022,4,PE,102.61092924675,-8.28,-35.07
2022,4,PB,105.55633690936,-7.06,-35.55
2022,4,PA,87.320573344982,-5.53,-52.29
2022,4,MT,108.15814157412,-12.64,-55.42
2022,4,MS,101.32097627913,-20.51,-54.54
2022,4,MG,104.2703450783,-18.10,-44.38
2022,4,MA,83.463865855885,-2.55,-44.30
2022,4,GO,105.58655419367,-16.64,-49.31
2022,4,ES,102.66821921729,-19.19,-40.34
2022,4,DF,116.7458492563,-15.83,-47.86
2022,4,CE,100.13201552284,-3.71,-38.54
2022,4,BA,97.188248150652,-12.96,-38.51
2022,4,AP,88.545406688369,1.41,-51.77
2022,4,AM,90.791862753938,-3.07,-61.66
2022,4,AL,92.97139347426,-9.71,-35.73
2022,4,AC,87.66766349534,-8.77,-70.55
2022,3,TO,95.675898972416,-10.25,-48.25
2022,3,SP,116.37002806397,-23.55,-46.64
2022,3,SE,95.969636609173,-10.90,-37.07
2022,3,SC,109.6618329181,-27.33,-49.44
2022,3,RS,100.39978616211,-30.11,-51.22
2022,3,RR,87.902952752588,1.89,-61.22
2022,3,RO,91.489623077016,-11.22,-62.80
2022,3,RN,96.719568042151,-5.22,-36.52
2022,3,RJ,109.38987132422,-22.84,-43.15
2022,3,PR,102.90260370267,-24.89,-51.55
2022,3,PI,94.42217013398,-8.28,-43.68
2022,3,PE,102.66901834489,-8.28,-35.07
2022,3,PB,105.16310110705,-7.06,-35.55
2022,3,PA,87.554807246656,-5.53,-52.29
2022,3,MT,107.26052734416,-12.64,-55.42
2022,3,MS,100.7485943164,-20.51,-54.54
2022,3,MG,104.375261951,-18.10,-44.38
2022,3,MA,81.219882621383,-2.55,-44.30
2022,3,GO,105.34664874048,-16.64,-49.31
2022,3,ES,102.72602609025,-19.19,-40.34
2022,3,DF,116.5661008459,-15.83,-47.86
2022,3,CE,99.663700763372,-3.71,-38.54
2022,3,BA,96.874039891403,-12.96,-38.51
2022,3,AP,88.776260151114,1.41,-51.77
2022,3,AM,88.163943985883,-3.07,-61.66
2022,3,AL,91.731620267841,-9.71,-35.73
2022,3,AC,87.243018891227,-8.77,-70.55
2022,2,TO,95.75287909452,-10.25,-48.25
2022,2,SP,115.46999202472,-23.55,-46.64
2022,2,SE,95.448442018171,-10.90,-37.07
2022,2,SC,108.22658882849,-27.33,-49.44
2022,2,RS,100.9995090101,-30.11,-51.22
2022,2,RR,86.707787342982,1.89,-61.22
2022,2,RO,91.56691151438,-11.22,-62.80
2022,2,RN,95.949482476776,-5.22,-36.52
2022,2,RJ,108.37994476317,-22.84,-43.15
2022,2,PR,101.58030828066,-24.89,-51.55
2022,2,PI,93.705541317427,-8.28,-43.68
2022,2,PE,101.71718402657,-8.28,-35.07
2022,2,PB,104.4693656625,-7.06,-35.55
2022,2,PA,87.163619882777,-5.53,-52.29
2022,2,MT,105.68639455668,-12.64,-55.42
2022,2,MS,100.12746602198,-20.51,-54.54
2022,2,MG,103.3181139312,-18.10,-44.38
2022,2,MA,83.119183947128,-2.55,-44.30
2022,2,GO,104.84813272965,-16.64,-49.31
2022,2,ES,102.55961531534,-19.19,-40.34
2022,2,DF,115.935333231,-15.83,-47.86
2022,2,CE,99.492358704757,-3.71,-38.54
2022,2,BA,96.38359206272,-12.96,-38.51
2022,2,AP,88.403886451089,1.41,-51.77
2022,2,AM,90.707834552499,-3.07,-61.66
2022,2,AL,90.854534935583,-9.71,-35.73
2022,2,AC,87.651674539849,-8.77,-70.55
2022,12,TO,99.999735355044,-10.25,-48.25
2022,12,SP,116.32855031957,-23.55,-46.64
2022,12,SE,98.540884647518,-10.90,-37.07
2022,12,SC,105.1943459322,-27.33,-49.44
2022,12,RS,104.4378252261,-30.11,-51.22
2022,12,RR,96.510624655235,1.89,-61.22
2022,12,RO,102.91028047787,-11.22,-62.80
2022,12,RN,97.985105404968,-5.22,-36.52
2022,12,RJ,114.3578283604,-22.84,-43.15
2022,12,PR,102.58878454363,-24.89,-51.55
2022,12,PI,91.351553896978,-8.28,-43.68
2022,12,PE,102.72505824862,-8.28,-35.07
2022,12,PB,93.827869955806,-7.06,-35.55
2022,12,PA,89.45175706851,-5.53,-52.29
2022,12,MT,106.48100900483,-12.64,-55.42
2022,12,MS,104.486088439,-20.51,-54.54
2022,12,MG,102.94987252856,-18.10,-44.38
2022,12,MA,84.41797320562,-2.55,-44.30
2022,12,GO,106.58477656569,-16.64,-49.31
2022,12,ES,105.85005397176,-19.19,-40.34
2022,12,DF,120.14690451207,-15.83,-47.86
2022,12,CE,99.890316853828,-3.71,-38.54
2022,12,BA,98.78982814386,-12.96,-38.51
2022,12,AP,102.2793207436,1.41,-51.77
2022,12,AM,93.712052877632,-3.07,-61.66
2022,12,AL,93.58131753973,-9.71,-35.73
2022,12,AC,97.310807131343,-8.77,-70.55
2022,11,TO,99.880645125008,-10.25,-48.25
2022,11,SP,117.61130383637,-23.55,-46.64
2022,11,SE,100.389851726,-10.90,-37.07
2022,11,SC,105.52747772189,-27.33,-49.44
2022,11,RS,103.87481060164,-30.11,-51.22
2022,11,RR,96.21045319604,1.89,-61.22
2022,11,RO,102.48542709245,-11.22,-62.80
2022,11,RN,99.4021492209,-5.22,-36.52
2022,11,RJ,114.3390735222,-22.84,-43.15
2022,11,PR,103.57935467047,-24.89,-51.55
2022,11,PI,91.648048452221,-8.28,-43.68
2022,11,PE,103.8882090227,-8.28,-35.07
