Tipo de Outorga;CNPJ;UF;Empresa;Porte da Prestadora;Grupo Econômico;2007-06;2007-07;2007-08;2007-09;2007-10;2007-11;2007-12;2008-01;2008-02;2008-03;2008-04;2008-05;2008-06;2008-07;2008-08;2008-09;2008-10;2008-11;2008-12;2009-01;2009-02;2009-03;2009-04;2009-05;2009-06;2009-07;2009-08;2009-09;2009-10;2009-11;2009-12;2010-01;2010-02;2010-03;2010-04;2010-05;2010-06;2010-07;2010-08;2010-09;2010-10;2010-11;2010-12;2011-01;2011-02;2011-03;2011-04;2011-05;2011-06;2011-07;2011-08;2011-09;2011-10;2011-11;2011-12;2012-01;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06
Autorização;02421421000111;RO;TIM;Grande Porte;TELECOM ITALIA;755;774;776;767;773;777;778;766;765;735;743;790;800;826;846;853;872;900;901;914;921;955;943;1070;1087;1161;1222;1212;1214;1214;1255;1242;1246;1245;1248;1252;1248;1248;1284;1290;1302;1288;1284;1282;1018;1023;996;994;993;992;990;990;885;884;884;884;885;898;950;949;947;945;937;932;931;935;931;834;831;830;822;821;814
Autorização;02421421000111;RR;TIM;Grande Porte;TELECOM ITALIA;755;774;776;767;773;777;778;766;765;735;743;790;800;826;846;853;872;900;901;914;921;955;1003;1070;1087;1161;1222;1212;1214;1214;1255;1242;1246;1245;1248;1252;1248;1248;1284;1290;1302;1288;1284;1282;1018;1023;996;994;993;992;990;990;885;884;884;884;885;898;950;949;947;945;937;932;931;935;931;834;831;830;822;821;814
Autorização;02421421000111;SC;TIM;Grande Porte;TELECOM ITALIA;1750;1788;1792;1774;1786;1824;1826;2302;2450;2390;2436;2500;2520;2572;2582;2716;2754;2810;2812;2958;2972;3280;3376;3300;3334;3482;3604;3584;3558;3558;3640;3614;3622;3620;3626;3634;3626;3656;3728;3800;3824;3826;3848;3844;3256;3416;3362;3388;3386;3174;3170;3050;2720;2718;2808;2808;2810;2926;3060;3088;3054;3020;2944;2934;2812;2820;2842;2588;2322;2320;2274;2272;2258
Autorização;02421421000111;SP;TIM;Grande Porte;TELECOM ITALIA;15146;16220;16450;16516;16553;16996;17363;17815;18559;18920;19958;20750;20899;21896;22856;23197;24001;24650;26755;27373;27715;27949;29017;30440;31172;31346;32408;33098;34039;34249;34856;35039;35378;36569;36987;36906;37634;38886;40609;42389;43051;43159;44241;45494;45282;46002;47466;48937;49750;50794;52255;52013;51292;51626;53186;58027;59952;60420;66674;67778;68937;68325;69087;69056;71390;74186;72782;71060;70239;69466;66291;65415;64592
Autorização;02421421000111;SE;TIM;Grande Porte;TELECOM ITALIA;815;834;806;797;803;807;808;796;795;765;773;820;830;856;876;883;902;930;931;944;951;985;1033;1100;1117;1191;1252;1242;1244;1244;1285;1272;1276;1275;1278;1282;1278;1278;1314;1320;1332;1318;1314;1312;1048;1053;1026;1024;1023;1022;1020;1020;915;914;914;914;915;928;980;979;977;975;967;962;991;995;991;924;921;920;912;881;874
Autorização;02421421000111;TO;TIM;Grande Porte;TELECOM ITALIA;755;774;776;767;773;777;778;766;765;735;743;790;800;826;846;853;872;900;901;914;921;955;943;1070;1087;1161;1222;1212;1214;1214;1255;1242;1276;1275;1278;1282;1278;1278;1314;1320;1332;1318;1314;1312;1048;1053;1026;1024;1023;1022;1020;1020;915;914;914;914;915;928;980;979;977;975;967;962;961;965;961;864;861;860;852;851;844
Autorização;71208516000174;DF;ALGAR (CTBC TELECOM);Pequeno Porte;ALGAR (CTBC TELECOM);93;97;204;309;412;534;537;574;613;657;797;777;791;762;744;738;853;855;910;1209;1027;1059;1061;1065;1068;1970;2044;2044;2356;2363;2374;2380;2280;2271;2257;2352;2144;2186;2134;2178;2102;2105;2091;2121;2154;2128;2189;2407;2405;2496;2529;2382;2362;2360;2363;2368;2398;2425;2427;2554;2718;2668;2697;2693;2730;2728;2758;2758;2756;3029;3026;3057;3121
Autorização;71208516000174;GO;ALGAR (CTBC TELECOM);Pequeno Porte;ALGAR (CTBC TELECOM);90;90;90;90;90;90;90;92;122;122;222;222;352;353;353;353;360;360;660;659;659;659;659;659;661;661;660;660;660;50;51;768;768;675;773;769;51;672;702;703;604;604;51;605;51;51;755;754;755;955;955;955;956;958;958;960;960;960;960;961;961;961;961;791;791;792;3723;792;792;792;792;797;797
Autorização;71208516000174;MG;ALGAR (CTBC TELECOM);Pequeno Porte;ALGAR (CTBC TELECOM);5089;5482;5839;6233;6843;7196;8208;9487;9858;10401;11183;11541;12934;13749;14200;14910;14833;15221;15604;15805;16333;16430;16847;16403;17577;18699;19527;20427;22821;23540;24260;24616;24809;24905;25056;24766;23715;23359;22408;22663;22628;22939;23124;23338;23502;23855;23812;23660;23669;23787;23841;23356;23328;23321;25288;27139;28623;30727;31974;33549;34729;36226;37340;38208;38360;39685;41099;43004;43600;45059;46498;48333;30546
Autorização;71208516000174;PR;ALGAR (CTBC TELECOM);Pequeno Porte;ALGAR (CTBC TELECOM);11;16;20;22;23;28;137;151;152;157;165;266;269;271;273;306;314;417;618;615;715;848;1048;1248;1529;2680;2784;3464;3950;3876;4392;5096;5236;4881;4350;4470;4273;3766;3735;3751;3691;3812;3829;3697;4030;4330;4213;4369;4304;4516;4578;4746;4906;4700;4838;4779;4870;4833;4834;4823;4823;4791;4880;4949;5018;5020;5048;5375;5461;5506;5714;6257;6472
